Recall	Precision
5.14E-04	1
0.001027749	1
0.001027749	0.666666667
0.001541624	0.75
0.002055498	0.8
0.002569373	0.833333333
0.003083248	0.857142857
0.003083248	0.75
0.003597122	0.777777778
0.004110997	0.8
0.004624872	0.818181818
0.004624872	0.75
0.004624872	0.692307692
0.005138746	0.714285714
0.005652621	0.733333333
0.005652621	0.6875
0.005652621	0.647058824
0.006166495	0.666666667
0.006166495	0.631578947
0.006166495	0.6
0.00668037	0.619047619
0.00668037	0.590909091
0.00668037	0.565217391
0.00668037	0.541666667
0.007194245	0.56
0.007708119	0.576923077
0.008221994	0.592592593
0.008735868	0.607142857
0.008735868	0.586206897
0.008735868	0.566666667
0.009249743	0.580645161
0.009249743	0.5625
0.009763618	0.575757576
0.010277492	0.588235294
0.010277492	0.571428571
0.010277492	0.555555556
0.010277492	0.540540541
0.010791367	0.552631579
0.011305242	0.564102564
0.011819116	0.575
0.012332991	0.585365854
0.012846865	0.595238095
0.01336074	0.604651163
0.013874615	0.613636364
0.014388489	0.622222222
0.014902364	0.630434783
0.015416238	0.638297872
0.015930113	0.645833333
0.016443988	0.653061224
0.016957862	0.66
0.017471737	0.666666667
0.017985612	0.673076923
0.018499486	0.679245283
0.019013361	0.685185185
0.019527235	0.690909091
0.02004111	0.696428571
0.020554985	0.701754386
0.021068859	0.706896552
0.021582734	0.711864407
0.022096608	0.716666667
0.022096608	0.704918033
0.022610483	0.709677419
0.023124358	0.714285714
0.023638232	0.71875
0.024152107	0.723076923
0.024665982	0.727272727
0.025179856	0.731343284
0.025693731	0.735294118
0.026207605	0.739130435
0.02672148	0.742857143
0.027235355	0.746478873
0.027749229	0.75
0.028263104	0.753424658
0.028776978	0.756756757
0.029290853	0.76
0.029804728	0.763157895
0.030318602	0.766233766
0.030832477	0.769230769
0.031346351	0.772151899
0.031860226	0.775
0.032374101	0.777777778
0.032887975	0.780487805
0.03340185	0.78313253
0.033915725	0.785714286
0.034429599	0.788235294
0.034943474	0.790697674
0.035457348	0.793103448
0.035971223	0.795454545
0.036485098	0.797752809
0.036998972	0.8
0.037512847	0.802197802
0.038026721	0.804347826
0.038540596	0.806451613
0.039054471	0.808510638
0.039568345	0.810526316
0.04008222	0.8125
0.040596095	0.81443299
0.041109969	0.816326531
0.041623844	0.818181818
0.041623844	0.81
0.041623844	0.801980198
0.041623844	0.794117647
0.041623844	0.786407767
0.041623844	0.778846154
0.041623844	0.771428571
0.041623844	0.764150943
0.041623844	0.757009346
0.041623844	0.75
0.041623844	0.743119266
0.041623844	0.736363636
0.041623844	0.72972973
0.041623844	0.723214286
0.041623844	0.716814159
0.041623844	0.710526316
0.041623844	0.704347826
0.041623844	0.698275862
0.041623844	0.692307692
0.041623844	0.686440678
0.041623844	0.680672269
0.041623844	0.675
0.041623844	0.669421488
0.041623844	0.663934426
0.041623844	0.658536585
0.041623844	0.653225806
0.042137718	0.656
0.042137718	0.650793651
0.042651593	0.653543307
0.043165468	0.65625
0.043165468	0.651162791
0.043165468	0.646153846
0.043679342	0.648854962
0.043679342	0.643939394
0.043679342	0.639097744
0.043679342	0.634328358
0.043679342	0.62962963
0.044193217	0.632352941
0.044707091	0.635036496
0.045220966	0.637681159
0.045220966	0.633093525
0.045734841	0.635714286
0.046248715	0.638297872
0.04676259	0.64084507
0.047276465	0.643356643
0.047276465	0.638888889
0.047276465	0.634482759
0.047276465	0.630136986
0.047790339	0.632653061
0.048304214	0.635135135
0.048818088	0.637583893
0.049331963	0.64
0.049845838	0.642384106
0.049845838	0.638157895
0.050359712	0.640522876
0.050873587	0.642857143
0.051387461	0.64516129
0.051901336	0.647435897
0.052415211	0.649681529
0.052929085	0.651898734
0.05344296	0.65408805
0.053956835	0.65625
0.054470709	0.658385093
0.054984584	0.660493827
0.055498458	0.662576687
0.056012333	0.664634146
0.056526208	0.666666667
0.057040082	0.668674699
0.057553957	0.670658683
0.058067831	0.672619048
0.058581706	0.674556213
0.059095581	0.676470588
0.059609455	0.678362573
0.059609455	0.674418605
0.059609455	0.670520231
0.059609455	0.666666667
0.059609455	0.662857143
0.059609455	0.659090909
0.059609455	0.655367232
0.059609455	0.651685393
0.06012333	0.653631285
0.06012333	0.65
0.060637205	0.651933702
0.061151079	0.653846154
0.061664954	0.655737705
0.062178828	0.657608696
0.062178828	0.654054054
0.062692703	0.655913978
0.063206578	0.657754011
0.063206578	0.654255319
0.063206578	0.650793651
0.063720452	0.652631579
0.063720452	0.64921466
0.063720452	0.645833333
0.064234327	0.647668394
0.064748201	0.649484536
0.064748201	0.646153846
0.065262076	0.647959184
0.065262076	0.644670051
0.065775951	0.646464646
0.065775951	0.64321608
0.066289825	0.645
0.066289825	0.641791045
0.0668037	0.643564356
0.0668037	0.640394089
0.0668037	0.637254902
0.0668037	0.634146341
0.067317575	0.63592233
0.067317575	0.632850242
0.067317575	0.629807692
0.067317575	0.626794258
0.067317575	0.623809524
0.067317575	0.620853081
0.067831449	0.622641509
0.067831449	0.61971831
0.068345324	0.621495327
0.068859198	0.623255814
0.068859198	0.62037037
0.069373073	0.622119816
0.069886948	0.623853211
0.069886948	0.621004566
0.069886948	0.618181818
0.070400822	0.619909502
0.070914697	0.621621622
0.071428571	0.623318386
0.071428571	0.620535714
0.071428571	0.617777778
0.071428571	0.615044248
0.071942446	0.616740088
0.071942446	0.614035088
0.072456321	0.615720524
0.072456321	0.613043478
0.072456321	0.61038961
0.072970195	0.612068966
0.072970195	0.60944206
0.07348407	0.611111111
0.07348407	0.608510638
0.073997945	0.610169492
0.073997945	0.607594937
0.073997945	0.605042017
0.074511819	0.606694561
0.075025694	0.608333333
0.075539568	0.609958506
0.076053443	0.611570248
0.076567318	0.613168724
0.076567318	0.610655738
0.077081192	0.612244898
0.077595067	0.613821138
0.077595067	0.611336032
0.077595067	0.608870968
0.077595067	0.606425703
0.077595067	0.604
0.078108941	0.605577689
0.078622816	0.607142857
0.078622816	0.604743083
0.079136691	0.606299213
0.079650565	0.607843137
0.08016444	0.609375
0.080678314	0.610894942
0.081192189	0.612403101
0.081706064	0.613899614
0.082219938	0.615384615
0.082733813	0.616858238
0.083247688	0.618320611
0.083761562	0.619771863
0.084275437	0.621212121
0.084789311	0.622641509
0.084789311	0.620300752
0.084789311	0.617977528
0.084789311	0.615671642
0.084789311	0.6133829
0.084789311	0.611111111
0.085303186	0.612546125
0.085817061	0.613970588
0.086330935	0.615384615
0.086330935	0.613138686
0.086330935	0.610909091
0.08684481	0.612318841
0.08684481	0.610108303
0.08684481	0.607913669
0.08684481	0.605734767
0.087358684	0.607142857
0.087872559	0.608540925
0.087872559	0.606382979
0.087872559	0.604240283
0.088386434	0.605633803
0.088386434	0.603508772
0.088386434	0.601398601
0.088900308	0.602787456
0.088900308	0.600694444
0.088900308	0.598615917
0.088900308	0.596551724
0.088900308	0.594501718
0.088900308	0.592465753
0.088900308	0.590443686
0.089414183	0.591836735
0.089928058	0.593220339
0.090441932	0.594594595
0.090955807	0.595959596
0.091469681	0.597315436
0.091469681	0.595317726
0.091469681	0.593333333
0.091983556	0.594684385
0.092497431	0.59602649
0.093011305	0.597359736
0.093011305	0.595394737
0.093011305	0.593442623
0.093011305	0.591503268
0.093011305	0.589576547
0.09352518	0.590909091
0.094039054	0.59223301
0.094039054	0.590322581
0.094552929	0.591639871
0.094552929	0.58974359
0.094552929	0.587859425
0.094552929	0.585987261
0.094552929	0.584126984
0.095066804	0.585443038
0.095580678	0.586750789
0.096094553	0.588050314
0.096608428	0.589341693
0.097122302	0.590625
0.097122302	0.588785047
0.097122302	0.586956522
0.097122302	0.585139319
0.097122302	0.583333333
0.097122302	0.581538462
0.097636177	0.582822086
0.097636177	0.581039755
0.097636177	0.579268293
0.097636177	0.577507599
0.098150051	0.578787879
0.098663926	0.580060423
0.099177801	0.581325301
0.099177801	0.57957958
0.099177801	0.577844311
0.099177801	0.576119403
0.099177801	0.574404762
0.099691675	0.575667656
0.10020555	0.576923077
0.10020555	0.575221239
0.100719424	0.576470588
0.101233299	0.57771261
0.101233299	0.576023392
0.101233299	0.574344023
0.101747174	0.575581395
0.101747174	0.573913043
0.101747174	0.572254335
0.101747174	0.570605187
0.101747174	0.568965517
0.102261048	0.570200573
0.102261048	0.568571429
0.102261048	0.566951567
0.102261048	0.565340909
0.102774923	0.566572238
0.102774923	0.564971751
0.102774923	0.563380282
0.102774923	0.561797753
0.102774923	0.56022409
0.103288798	0.561452514
0.103802672	0.562674095
0.104316547	0.563888889
0.104830421	0.565096953
0.105344296	0.566298343
0.105344296	0.564738292
0.105344296	0.563186813
0.105344296	0.561643836
0.105344296	0.56010929
0.105344296	0.558583106
0.105858171	0.559782609
0.105858171	0.558265583
0.105858171	0.556756757
0.105858171	0.555256065
0.105858171	0.553763441
0.106372045	0.554959786
0.106372045	0.553475936
0.106372045	0.552
0.106372045	0.550531915
0.10688592	0.551724138
0.10688592	0.55026455
0.10688592	0.548812665
0.107399794	0.55
0.107399794	0.54855643
0.107399794	0.547120419
