Recall	Precision
0.002362609	0.503631943
0.002367927	0.50882419
0.002376789	0.517477934
0.002389195	0.529593175
0.002398057	0.538246919
0.002873061	0.552087592
0.002422871	0.562477402
0.002435278	0.574592643
0.002445912	0.584977136
0.002919143	0.59708706
0.002468953	0.60747687
0.00293864	0.616125297
0.00341187	0.628235221
0.003429594	0.645542709
0.003911687	0.666306377
0.005306566	0.678405667
0.005315428	0.687059411
0.005792204	0.702630833
0.005802838	0.713015325
0.006272524	0.721663752
0.009562099	0.783933488
0.010490837	0.790845848
0.010499699	0.799499592
0.010941026	0.780456039
0.010930392	0.770071546
0.011382354	0.761412485
0.012312864	0.770055594
0.013239829	0.775237206
0.013215016	0.751006723
0.013204381	0.740622231
0.013197292	0.733699236
0.013184885	0.721583994
0.013176023	0.71293025
0.013629757	0.706001938
0.014083492	0.699073626
0.015476598	0.709442167
0.015944512	0.716359845
0.016860843	0.711156964
0.016853753	0.704233969
0.018250405	0.718064007
0.018714774	0.721520188
0.019639966	0.724971051
0.019172053	0.718053373
0.019625787	0.711125061
0.020083066	0.707658246
0.020535029	0.698999185
0.021910411	0.692060238
0.021903321	0.685137243
0.023296428	0.695505784
0.023303518	0.702428779
0.025152131	0.707599757
0.026073779	0.707589122
0.024212759	0.690302903
0.027442072	0.69372718
0.029290685	0.698898158
0.029760371	0.707546585
0.032071581	0.714442994
0.032987912	0.709240113
0.035292032	0.709213527
0.03760147	0.714379187
0.03898217	0.712632487
0.039435904	0.705704175
0.034825891	0.704026598
0.039428815	0.698781179
0.039421725	0.691858184
0.041731162	0.697023845
0.041727618	0.693562347
0.041715211	0.681447106
0.042631542	0.676244225
0.04262268	0.667590481
0.042613818	0.658936737
0.044458886	0.660646217
0.046296865	0.655432702
0.0467506	0.64850439
0.047200789	0.63811458
0.048576172	0.631175633
0.049499592	0.632895747
0.052268081	0.636325342
0.054114922	0.639765571
0.056419043	0.639738985
0.058264111	0.641448465
0.060110952	0.644888693
0.061950704	0.641405927
0.064261913	0.648302336
0.066569579	0.651737248
0.068412875	0.651715979
0.070250854	0.646502464
0.070706361	0.6413049
0.071160095	0.634376588
0.072999846	0.630893821
0.074846687	0.63433405
0.07622916	0.634318099
0.076686439	0.630851284
0.078531507	0.632560764
0.07852619	0.627368517
0.081296452	0.632528861
0.083600572	0.632502275
0.085906465	0.634206437
0.085899375	0.627283442
0.085894058	0.622091196
0.088201723	0.625526107
0.089116281	0.618592478
0.091422174	0.620296641
0.093728067	0.622000803
0.096033959	0.623704966
0.096948518	0.616771337
0.098795359	0.620211566
0.09971169	0.615008685
0.101088845	0.609800487
0.102462455	0.601130791
0.102453593	0.592477047
0.103828975	0.585538101
0.104277392	0.573417542
0.106111827	0.564742529
0.107956895	0.566452009
0.108405312	0.554331451
0.110712978	0.557766362
0.112090132	0.552558164
0.112543867	0.545629852
0.113919249	0.538690905
0.115751911	0.528285144
0.115743049	0.5196314
0.116654063	0.509236273
0.11849027	0.502292009
0.11848318	0.495369014
0.120326476	0.495347745
0.122630596	0.495321159
0.124468575	0.490107644
0.124459713	0.4814539
0.125833323	0.472784204
0.127671302	0.467570689
0.129511054	0.464087923
0.13135435	0.464066654
0.132277771	0.465786768
0.135035625	0.45883187
0.135026763	0.450178126
0.135014356	0.438062885
0.136854108	0.434580118
0.138697404	0.43455885
0.138692087	0.429366603
0.140067469	0.422427657
0.14237159	0.422401071
0.144213113	0.420649053
0.145590268	0.415440855
0.146969196	0.411963406
0.149271544	0.410206071
0.151573891	0.408448736
0.154335291	0.404955336
0.156182132	0.408395564
0.158025428	0.408374295
0.158482707	0.404907481
0.160783283	0.401419397
0.163087403	0.401392811
0.164930699	0.401371542
0.166770451	0.397888776
0.169533622	0.396126124
0.170451726	0.392653992
0.172295022	0.392632723
0.173677494	0.392616772
0.176897945	0.387387305
0.178276873	0.383909856
0.180575676	0.378691023
0.18334062	0.37865912
0.185642968	0.376901785
0.188407912	0.376869882
0.19163368	0.376832662
0.19301438	0.375085961
0.196695655	0.369851177
0.198531862	0.362906914
0.201755858	0.361138944
0.204059978	0.361112358
0.204974537	0.354178729
0.206817833	0.35415746
0.209121953	0.354130874
0.210499108	0.348922676
0.212797911	0.343703844
0.215562855	0.343671941
0.217863431	0.340183857
0.219704954	0.338431839
0.22292895	0.33666387
0.224772247	0.336642601
0.226147629	0.329703655
0.228912573	0.329671751
0.231675745	0.3279091
0.234901514	0.327871879
0.236275124	0.319202184
0.238579244	0.319175598
0.241344188	0.319143694
0.243180395	0.31219943
0.24593825	0.305244532
0.247776229	0.300031017
