Recall	Precision
5.14E-04	1
0.001027749	1
0.001027749	0.666666667
0.001541624	0.75
0.002055498	0.8
0.002569373	0.833333333
0.003083248	0.857142857
0.003083248	0.75
0.003083248	0.666666667
0.003597122	0.7
0.004110997	0.727272727
0.004624872	0.75
0.005138746	0.769230769
0.005652621	0.785714286
0.006166495	0.8
0.00668037	0.8125
0.007194245	0.823529412
0.007708119	0.833333333
0.008221994	0.842105263
0.008735868	0.85
0.009249743	0.857142857
0.009763618	0.863636364
0.010277492	0.869565217
0.010791367	0.875
0.011305242	0.88
0.011819116	0.884615385
0.012332991	0.888888889
0.012846865	0.892857143
0.01336074	0.896551724
0.013874615	0.9
0.014388489	0.903225806
0.014902364	0.90625
0.015416238	0.909090909
0.015930113	0.911764706
0.016443988	0.914285714
0.016957862	0.916666667
0.017471737	0.918918919
0.017985612	0.921052632
0.018499486	0.923076923
0.019013361	0.925
0.019527235	0.926829268
0.02004111	0.928571429
0.020554985	0.930232558
0.021068859	0.931818182
0.021582734	0.933333333
0.022096608	0.934782609
0.022610483	0.936170213
0.022610483	0.916666667
0.023124358	0.918367347
0.023124358	0.9
0.023638232	0.901960784
0.024152107	0.903846154
0.024665982	0.905660377
0.025179856	0.907407407
0.025693731	0.909090909
0.026207605	0.910714286
0.02672148	0.912280702
0.027235355	0.913793103
0.027235355	0.898305085
0.027749229	0.9
0.028263104	0.901639344
0.028263104	0.887096774
0.028776978	0.888888889
0.029290853	0.890625
0.029290853	0.876923077
0.029804728	0.878787879
0.030318602	0.880597015
0.030832477	0.882352941
0.031346351	0.884057971
0.031860226	0.885714286
0.032374101	0.887323944
0.032887975	0.888888889
0.03340185	0.890410959
0.033915725	0.891891892
0.034429599	0.893333333
0.034943474	0.894736842
0.035457348	0.896103896
0.035971223	0.897435897
0.036485098	0.898734177
0.036998972	0.9
0.037512847	0.901234568
0.038026721	0.902439024
0.038540596	0.903614458
0.039054471	0.904761905
0.039568345	0.905882353
0.04008222	0.906976744
0.040596095	0.908045977
0.041109969	0.909090909
0.041623844	0.91011236
0.042137718	0.911111111
0.042137718	0.901098901
0.042651593	0.902173913
0.042651593	0.892473118
0.043165468	0.893617021
0.043165468	0.884210526
0.043679342	0.885416667
0.044193217	0.886597938
0.044707091	0.887755102
0.045220966	0.888888889
0.045734841	0.89
0.045734841	0.881188119
0.046248715	0.882352941
0.04676259	0.883495146
0.047276465	0.884615385
0.047790339	0.885714286
0.047790339	0.877358491
0.048304214	0.878504673
0.048818088	0.87962963
0.049331963	0.880733945
0.049845838	0.881818182
0.050359712	0.882882883
0.050873587	0.883928571
0.051387461	0.884955752
0.051901336	0.885964912
0.052415211	0.886956522
0.052929085	0.887931034
0.05344296	0.888888889
0.053956835	0.889830508
0.054470709	0.890756303
0.054984584	0.891666667
0.055498458	0.892561983
0.056012333	0.893442623
0.056526208	0.894308943
0.057040082	0.89516129
0.057553957	0.896
0.058067831	0.896825397
0.058581706	0.897637795
0.059095581	0.8984375
0.059609455	0.899224806
0.059609455	0.892307692
0.06012333	0.893129771
0.060637205	0.893939394
0.061151079	0.894736842
0.061664954	0.895522388
0.062178828	0.896296296
0.062178828	0.889705882
0.062692703	0.890510949
0.063206578	0.891304348
0.063720452	0.892086331
0.064234327	0.892857143
0.064748201	0.893617021
0.065262076	0.894366197
0.065775951	0.895104895
0.066289825	0.895833333
0.0668037	0.896551724
0.067317575	0.897260274
0.067831449	0.897959184
0.068345324	0.898648649
0.068859198	0.899328859
0.069373073	0.9
0.069886948	0.900662252
0.069886948	0.894736842
0.070400822	0.895424837
0.070914697	0.896103896
0.071428571	0.896774194
0.071942446	0.897435897
0.072456321	0.898089172
0.072970195	0.898734177
0.07348407	0.899371069
0.073997945	0.9
0.074511819	0.900621118
0.075025694	0.901234568
0.075025694	0.895705521
0.075539568	0.896341463
0.076053443	0.896969697
0.076567318	0.897590361
0.077081192	0.898203593
0.077595067	0.898809524
0.078108941	0.899408284
0.078108941	0.894117647
0.078622816	0.894736842
0.078622816	0.889534884
0.079136691	0.89017341
0.079650565	0.890804598
0.08016444	0.891428571
0.080678314	0.892045455
0.081192189	0.892655367
0.081706064	0.893258427
0.082219938	0.893854749
0.082733813	0.894444444
0.083247688	0.895027624
0.083761562	0.895604396
0.084275437	0.896174863
0.084789311	0.89673913
0.085303186	0.897297297
0.085817061	0.897849462
0.086330935	0.898395722
0.08684481	0.89893617
0.087358684	0.899470899
0.087358684	0.894736842
0.087872559	0.895287958
0.088386434	0.895833333
0.088900308	0.896373057
0.089414183	0.896907216
0.089928058	0.897435897
0.090441932	0.897959184
0.090955807	0.898477157
0.091469681	0.898989899
0.091983556	0.899497487
0.092497431	0.9
0.093011305	0.900497512
0.093011305	0.896039604
0.09352518	0.896551724
0.094039054	0.897058824
0.094552929	0.897560976
0.095066804	0.898058252
0.095066804	0.893719807
0.095580678	0.894230769
0.096094553	0.894736842
0.096094553	0.89047619
0.096094553	0.886255924
0.096608428	0.886792453
0.096608428	0.882629108
0.097122302	0.88317757
0.097636177	0.88372093
0.097636177	0.87962963
0.098150051	0.880184332
0.098663926	0.880733945
0.099177801	0.881278539
0.099691675	0.881818182
0.10020555	0.882352941
0.100719424	0.882882883
0.100719424	0.878923767
0.101233299	0.879464286
0.101747174	0.88
0.102261048	0.880530973
0.102774923	0.881057269
0.102774923	0.877192982
0.103288798	0.877729258
0.103288798	0.873913043
0.103802672	0.874458874
0.104316547	0.875
0.104316547	0.871244635
0.104830421	0.871794872
0.105344296	0.872340426
0.105858171	0.872881356
0.106372045	0.873417722
0.106372045	0.869747899
0.106372045	0.866108787
0.10688592	0.866666667
0.107399794	0.867219917
0.107399794	0.863636364
0.107399794	0.860082305
0.107399794	0.856557377
0.107399794	0.853061224
0.107913669	0.853658537
0.108427544	0.854251012
0.108941418	0.85483871
0.109455293	0.855421687
0.109969168	0.856
0.110483042	0.856573705
0.110483042	0.853174603
0.110996917	0.853754941
0.111510791	0.854330709
0.112024666	0.854901961
0.112538541	0.85546875
0.113052415	0.856031128
0.11356629	0.856589147
0.114080164	0.857142857
0.114080164	0.853846154
0.114080164	0.850574713
0.114594039	0.851145038
0.115107914	0.851711027
0.115621788	0.852272727
0.116135663	0.852830189
0.116649538	0.853383459
0.117163412	0.853932584
0.117677287	0.854477612
0.118191161	0.855018587
0.118705036	0.855555556
0.118705036	0.852398524
0.119218911	0.852941176
0.119732785	0.853479853
0.119732785	0.850364964
0.119732785	0.847272727
0.119732785	0.844202899
0.119732785	0.841155235
0.119732785	0.838129496
0.119732785	0.835125448
0.119732785	0.832142857
0.119732785	0.829181495
0.12024666	0.829787234
0.120760534	0.830388693
0.121274409	0.830985915
0.121788284	0.831578947
0.122302158	0.832167832
0.122816033	0.832752613
0.123329908	0.833333333
0.123329908	0.830449827
0.123843782	0.831034483
0.123843782	0.828178694
0.124357657	0.828767123
0.124871531	0.829351536
0.124871531	0.826530612
0.124871531	0.823728814
0.124871531	0.820945946
0.125385406	0.821548822
0.125899281	0.822147651
0.125899281	0.819397993
0.126413155	0.82
0.12692703	0.820598007
0.12692703	0.817880795
0.127440904	0.818481848
0.127954779	0.819078947
0.127954779	0.816393443
0.127954779	0.81372549
0.128468654	0.814332248
0.128982528	0.814935065
0.129496403	0.815533981
0.130010277	0.816129032
0.130524152	0.816720257
0.131038027	0.817307692
0.131038027	0.814696486
0.131038027	0.812101911
0.131551901	0.812698413
0.132065776	0.813291139
0.132065776	0.810725552
0.132579651	0.811320755
0.133093525	0.811912226
0.133093525	0.809375
0.1336074	0.809968847
0.134121274	0.810559006
0.134635149	0.811145511
0.135149024	0.811728395
0.135662898	0.812307692
0.136176773	0.812883436
0.136690647	0.813455657
0.136690647	0.81097561
0.136690647	0.808510638
0.136690647	0.806060606
0.136690647	0.803625378
0.136690647	0.801204819
0.137204522	0.801801802
0.137718397	0.80239521
0.138232271	0.802985075
0.138746146	0.803571429
0.138746146	0.801186944
0.139260021	0.801775148
0.139260021	0.799410029
0.139260021	0.797058824
0.139773895	0.797653959
0.139773895	0.795321637
0.14028777	0.795918367
0.140801644	0.796511628
0.141315519	0.797101449
0.141315519	0.794797688
0.141829394	0.795389049
0.141829394	0.793103448
0.142343268	0.793696275
0.142857143	0.794285714
0.142857143	0.792022792
0.142857143	0.789772727
0.143371017	0.790368272
0.143884892	0.790960452
0.144398767	0.791549296
0.144912641	0.792134831
0.144912641	0.789915966
0.144912641	0.787709497
0.145426516	0.788300836
0.145940391	0.788888889
0.146454265	0.789473684
0.146454265	0.787292818
0.146454265	0.785123967
0.14696814	0.785714286
0.147482014	0.78630137
0.147995889	0.786885246
0.148509764	0.78746594
0.149023638	0.788043478
0.149537513	0.788617886
0.150051387	0.789189189
0.150565262	0.789757412
0.150565262	0.787634409
0.150565262	0.785522788
0.150565262	0.78342246
0.150565262	0.781333333
0.150565262	0.779255319
0.150565262	0.777188329
0.150565262	0.775132275
0.150565262	0.773087071
0.150565262	0.771052632
0.150565262	0.769028871
0.151079137	0.769633508
