Recall	Precision
5.14E-04	1
0.001027749	1
0.001541624	1
0.002055498	1
0.002569373	1
0.003083248	1
0.003597122	1
0.004110997	1
0.004624872	1
0.005138746	1
0.005652621	1
0.006166495	1
0.00668037	1
0.00668037	0.928571429
0.007194245	0.933333333
0.007708119	0.9375
0.008221994	0.941176471
0.008221994	0.888888889
0.008735868	0.894736842
0.009249743	0.9
0.009763618	0.904761905
0.010277492	0.909090909
0.010791367	0.913043478
0.011305242	0.916666667
0.011305242	0.88
0.011819116	0.884615385
0.012332991	0.888888889
0.012846865	0.892857143
0.01336074	0.896551724
0.013874615	0.9
0.014388489	0.903225806
0.014902364	0.90625
0.015416238	0.909090909
0.015930113	0.911764706
0.016443988	0.914285714
0.016957862	0.916666667
0.017471737	0.918918919
0.017985612	0.921052632
0.017985612	0.897435897
0.018499486	0.9
0.018499486	0.87804878
0.018499486	0.857142857
0.019013361	0.860465116
0.019527235	0.863636364
0.02004111	0.866666667
0.020554985	0.869565217
0.021068859	0.872340426
0.021582734	0.875
0.022096608	0.87755102
0.022610483	0.88
0.023124358	0.882352941
0.023638232	0.884615385
0.024152107	0.886792453
0.024665982	0.888888889
0.025179856	0.890909091
0.025693731	0.892857143
0.026207605	0.894736842
0.02672148	0.896551724
0.027235355	0.898305085
0.027235355	0.883333333
0.027235355	0.868852459
0.027235355	0.85483871
0.027749229	0.857142857
0.027749229	0.84375
0.028263104	0.846153846
0.028776978	0.848484848
0.029290853	0.850746269
0.029804728	0.852941176
0.030318602	0.855072464
0.030832477	0.857142857
0.031346351	0.85915493
0.031860226	0.861111111
0.032374101	0.863013699
0.032887975	0.864864865
0.032887975	0.853333333
0.032887975	0.842105263
0.032887975	0.831168831
0.03340185	0.833333333
0.033915725	0.835443038
0.034429599	0.8375
0.034943474	0.839506173
0.035457348	0.841463415
0.035971223	0.843373494
0.036485098	0.845238095
0.036998972	0.847058824
0.036998972	0.837209302
0.036998972	0.827586207
0.036998972	0.818181818
0.036998972	0.808988764
0.037512847	0.811111111
0.037512847	0.802197802
0.038026721	0.804347826
0.038540596	0.806451613
0.039054471	0.808510638
0.039568345	0.810526316
0.04008222	0.8125
0.040596095	0.81443299
0.040596095	0.806122449
0.041109969	0.808080808
0.041623844	0.81
0.042137718	0.811881188
0.042651593	0.81372549
0.043165468	0.815533981
0.043679342	0.817307692
0.044193217	0.819047619
0.044707091	0.820754717
0.045220966	0.822429907
0.045734841	0.824074074
0.046248715	0.825688073
0.04676259	0.827272727
0.047276465	0.828828829
0.047790339	0.830357143
0.048304214	0.831858407
0.048818088	0.833333333
0.049331963	0.834782609
0.049845838	0.836206897
0.049845838	0.829059829
0.049845838	0.822033898
0.049845838	0.81512605
0.049845838	0.808333333
0.049845838	0.801652893
0.049845838	0.795081967
0.049845838	0.788617886
0.049845838	0.782258065
0.049845838	0.776
0.049845838	0.76984127
0.049845838	0.763779528
0.049845838	0.7578125
0.049845838	0.751937984
0.049845838	0.746153846
0.050359712	0.748091603
0.050359712	0.742424242
0.050873587	0.744360902
0.051387461	0.746268657
0.051901336	0.748148148
0.052415211	0.75
0.052415211	0.744525547
0.052929085	0.746376812
0.05344296	0.748201439
0.053956835	0.75
0.053956835	0.744680851
0.054470709	0.746478873
0.054470709	0.741258741
0.054984584	0.743055556
0.055498458	0.744827586
0.055498458	0.739726027
0.055498458	0.734693878
0.056012333	0.736486486
0.056526208	0.738255034
0.056526208	0.733333333
0.057040082	0.735099338
0.057553957	0.736842105
0.058067831	0.738562092
0.058581706	0.74025974
0.059095581	0.741935484
0.059609455	0.743589744
0.06012333	0.74522293
0.060637205	0.746835443
0.060637205	0.742138365
0.061151079	0.74375
0.061664954	0.745341615
0.062178828	0.74691358
0.062692703	0.748466258
0.063206578	0.75
0.063720452	0.751515152
0.064234327	0.753012048
0.064234327	0.748502994
0.064234327	0.744047619
0.064234327	0.73964497
0.064234327	0.735294118
0.064234327	0.730994152
0.064234327	0.726744186
0.064234327	0.722543353
0.064234327	0.718390805
0.064234327	0.714285714
0.064234327	0.710227273
0.064234327	0.706214689
0.064234327	0.702247191
0.064748201	0.703910615
0.064748201	0.7
0.065262076	0.701657459
0.065775951	0.703296703
0.065775951	0.699453552
0.066289825	0.701086957
0.0668037	0.702702703
0.0668037	0.698924731
0.067317575	0.700534759
0.067317575	0.696808511
0.067831449	0.698412698
0.068345324	0.7
0.068859198	0.701570681
0.069373073	0.703125
0.069886948	0.704663212
0.070400822	0.706185567
0.070400822	0.702564103
0.070914697	0.704081633
0.070914697	0.700507614
0.070914697	0.696969697
0.071428571	0.698492462
0.071942446	0.7
0.072456321	0.701492537
0.072970195	0.702970297
0.07348407	0.704433498
0.073997945	0.705882353
0.073997945	0.702439024
0.073997945	0.699029126
0.074511819	0.700483092
0.075025694	0.701923077
0.075539568	0.703349282
0.076053443	0.704761905
0.076567318	0.706161137
0.076567318	0.702830189
0.076567318	0.699530516
0.077081192	0.700934579
0.077081192	0.697674419
0.077081192	0.694444444
0.077595067	0.695852535
0.078108941	0.697247706
0.078622816	0.698630137
0.079136691	0.7
0.079650565	0.701357466
0.08016444	0.702702703
0.080678314	0.704035874
0.081192189	0.705357143
0.081706064	0.706666667
0.081706064	0.703539823
0.082219938	0.704845815
0.082219938	0.701754386
0.082219938	0.698689956
0.082733813	0.7
0.083247688	0.701298701
0.083761562	0.702586207
0.084275437	0.703862661
0.084789311	0.705128205
0.085303186	0.706382979
0.085817061	0.707627119
0.085817061	0.70464135
0.086330935	0.705882353
0.086330935	0.70292887
0.08684481	0.704166667
0.087358684	0.705394191
0.087872559	0.70661157
0.087872559	0.703703704
0.087872559	0.700819672
0.087872559	0.697959184
0.087872559	0.695121951
0.088386434	0.696356275
0.088386434	0.693548387
0.088900308	0.694779116
0.089414183	0.696
0.089414183	0.693227092
0.089928058	0.694444444
0.089928058	0.691699605
0.089928058	0.688976378
0.089928058	0.68627451
0.090441932	0.6875
0.090955807	0.688715953
0.090955807	0.686046512
0.090955807	0.683397683
0.090955807	0.680769231
0.091469681	0.681992337
0.091983556	0.683206107
0.091983556	0.680608365
0.092497431	0.681818182
0.093011305	0.683018868
0.093011305	0.680451128
0.093011305	0.677902622
0.093011305	0.675373134
0.09352518	0.676579926
0.09352518	0.674074074
0.09352518	0.671586716
0.09352518	0.669117647
0.094039054	0.67032967
0.094039054	0.667883212
0.094552929	0.669090909
0.095066804	0.670289855
0.095580678	0.671480144
0.095580678	0.669064748
0.096094553	0.670250896
0.096094553	0.667857143
0.096094553	0.665480427
0.096094553	0.663120567
0.096094553	0.660777385
0.096608428	0.661971831
0.096608428	0.659649123
0.096608428	0.657342657
0.096608428	0.655052265
0.096608428	0.652777778
0.097122302	0.653979239
0.097122302	0.651724138
0.097122302	0.649484536
0.097122302	0.647260274
0.097636177	0.648464164
0.098150051	0.649659864
0.098663926	0.650847458
0.098663926	0.648648649
0.098663926	0.646464646
0.098663926	0.644295302
0.099177801	0.64548495
0.099691675	0.646666667
0.099691675	0.644518272
0.099691675	0.642384106
0.10020555	0.643564356
0.10020555	0.641447368
0.100719424	0.642622951
0.101233299	0.64379085
0.101233299	0.641693811
0.101747174	0.642857143
0.102261048	0.644012945
0.102774923	0.64516129
0.103288798	0.646302251
0.103802672	0.647435897
0.104316547	0.6485623
0.104830421	0.649681529
0.105344296	0.650793651
0.105858171	0.651898734
0.105858171	0.649842271
0.106372045	0.650943396
0.106372045	0.648902821
0.10688592	0.65
0.10688592	0.647975078
0.10688592	0.645962733
0.10688592	0.643962848
0.107399794	0.645061728
0.107399794	0.643076923
0.107399794	0.641104294
0.107913669	0.642201835
0.107913669	0.640243902
0.108427544	0.641337386
0.108427544	0.639393939
0.108427544	0.637462236
0.108427544	0.635542169
0.108941418	0.636636637
0.108941418	0.634730539
0.109455293	0.635820896
0.109455293	0.633928571
0.109969168	0.635014837
0.109969168	0.633136095
0.110483042	0.634218289
0.110996917	0.635294118
0.110996917	0.633431085
0.110996917	0.631578947
0.110996917	0.629737609
0.110996917	0.627906977
0.110996917	0.626086957
0.111510791	0.62716763
0.111510791	0.625360231
0.111510791	0.623563218
0.112024666	0.624641834
0.112024666	0.622857143
0.112024666	0.621082621
0.112024666	0.619318182
0.112024666	0.617563739
0.112024666	0.615819209
0.112538541	0.616901408
0.112538541	0.615168539
0.112538541	0.613445378
0.113052415	0.61452514
0.11356629	0.615598886
0.114080164	0.616666667
0.114594039	0.617728532
0.115107914	0.61878453
0.115107914	0.61707989
0.115621788	0.618131868
0.116135663	0.619178082
0.116135663	0.617486339
0.116649538	0.61852861
0.117163412	0.619565217
0.117163412	0.617886179
0.117163412	0.616216216
0.117677287	0.617250674
0.118191161	0.61827957
0.118191161	0.616621984
0.118705036	0.617647059
0.119218911	0.618666667
0.119732785	0.619680851
0.119732785	0.618037135
0.119732785	0.616402116
0.119732785	0.614775726
0.12024666	0.615789474
0.120760534	0.6167979
0.121274409	0.617801047
0.121274409	0.61618799
0.121274409	0.614583333
0.121788284	0.615584416
